event_name,timestamp,session_num,trial_in_session,global_trial_id,t_ard,dx,dy,dz,stim_state,details
first_frame,215.475953,2,8,51,,,,,,"{""initial_angle"": 2.000072426431849, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,213.858386,2,8,51,,,,,,"{""elapsed"": 5.7570326999993995, ""t_collision"": 5.7289961630759425}"
looming_completed,214.862041,2,8,51,,,,,,"{""elapsed"": 6.7606880000003, ""t_collision"": 5.7289961630759425}"
iti_start,214.891981,2,8,51,,,,,,"{""duration"": 1.1008898238144016}"
trial_start,216.013339,2,9,52,,,,,,"{""trial_index"": 8, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,223.406654,2,9,52,,,,,,"{""initial_angle"": 2.0000367186732113, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,221.761627,2,9,52,,,,,,"{""elapsed"": 5.7424287000012555, ""t_collision"": 5.7289961630759425}"
looming_completed,222.774671,2,9,52,,,,,,"{""elapsed"": 6.755472000000736, ""t_collision"": 5.7289961630759425}"
iti_start,222.808817,2,9,52,,,,,,"{""duration"": 1.2381939647086475}"
trial_start,224.063709,2,10,53,,,,,,"{""trial_index"": 9, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,231.458812,2,10,53,,,,,,"{""initial_angle"": 2.0000417100030288, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,229.825344,2,10,53,,,,,,"{""elapsed"": 5.7503061999996135, ""t_collision"": 5.7289961630759425}"
looming_completed,230.814716,2,10,53,,,,,,"{""elapsed"": 6.739678799998728, ""t_collision"": 5.7289961630759425}"
iti_start,230.845816,2,10,53,,,,,,"{""duration"": 1.5520592509436892}"
trial_start,232.407957,2,11,54,,,,,,"{""trial_index"": 10, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,239.756526,2,11,54,,,,,,"{""initial_angle"": 2.0000065268901057, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,238.142490,2,11,54,,,,,,"{""elapsed"": 5.733485299999302, ""t_collision"": 5.7289961630759425}"
looming_completed,239.141526,2,11,54,,,,,,"{""elapsed"": 6.732522099999187, ""t_collision"": 5.7289961630759425}"
iti_start,239.177399,2,11,54,,,,,,"{""duration"": 1.8467937935010306}"
trial_start,241.025357,2,12,55,,,,,,"{""trial_index"": 11, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,248.376383,2,12,55,,,,,,"{""initial_angle"": 2.0000135075680086, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,246.777549,2,12,55,,,,,,"{""elapsed"": 5.749781700000312, ""t_collision"": 5.7289961630759425}"
looming_completed,247.759608,2,12,55,,,,,,"{""elapsed"": 6.731840499998725, ""t_collision"": 5.7289961630759425}"
iti_start,247.792299,2,12,55,,,,,,"{""duration"": 1.4042168355754487}"
trial_start,249.208679,2,13,56,,,,,,"{""trial_index"": 12, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,256.609327,2,13,56,,,,,,"{""initial_angle"": 2.000012251042314, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,254.958436,2,13,56,,,,,,"{""elapsed"": 5.746730499999103, ""t_collision"": 5.7289961630759425}"
looming_completed,255.974287,2,13,56,,,,,,"{""elapsed"": 6.762580900000103, ""t_collision"": 5.7289961630759425}"
iti_start,256.008475,2,13,56,,,,,,"{""duration"": 1.2018907793847702}"
trial_start,257.260599,2,14,57,,,,,,"{""trial_index"": 13, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,264.659150,2,14,57,,,,,,"{""initial_angle"": 2.000011378456325, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,263.024925,2,14,57,,,,,,"{""elapsed"": 5.760440199999721, ""t_collision"": 5.7289961630759425}"
looming_completed,264.025829,2,14,57,,,,,,"{""elapsed"": 6.761343699999998, ""t_collision"": 5.7289961630759425}"
iti_start,264.058608,2,14,57,,,,,,"{""duration"": 1.756674897633858}"
trial_start,265.827908,2,15,58,,,,,,"{""trial_index"": 14, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,273.178974,2,15,58,,,,,,"{""initial_angle"": 2.000007329665369, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,271.575299,2,15,58,,,,,,"{""elapsed"": 5.743324900000516, ""t_collision"": 5.7289961630759425}"
looming_completed,272.574566,2,15,58,,,,,,"{""elapsed"": 6.742591500000344, ""t_collision"": 5.7289961630759425}"
iti_start,272.608203,2,15,58,,,,,,"{""duration"": 1.582228241705619}"
trial_start,274.209578,2,16,59,,,,,,"{""trial_index"": 15, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,281.590070,2,16,59,,,,,,"{""initial_angle"": 2.0000373818555244, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,279.958002,2,16,59,,,,,,"{""elapsed"": 5.744173600000067, ""t_collision"": 5.7289961630759425}"
looming_completed,280.993955,2,16,59,,,,,,"{""elapsed"": 6.780127200001516, ""t_collision"": 5.7289961630759425}"
iti_start,281.111283,2,16,59,,,,,,"{""duration"": 1.2912998421131583}"
trial_start,282.408266,2,17,60,,,,,,"{""trial_index"": 16, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,289.826025,2,17,60,,,,,,"{""initial_angle"": 2.000018917627595, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,288.144106,2,17,60,,,,,,"{""elapsed"": 5.732525900000837, ""t_collision"": 5.7289961630759425}"
looming_completed,289.142760,2,17,60,,,,,,"{""elapsed"": 6.7311798999999155, ""t_collision"": 5.7289961630759425}"
iti_start,289.175637,2,17,60,,,,,,"{""duration"": 1.9879736184440062}"
trial_start,291.192074,2,18,61,,,,,,"{""trial_index"": 17, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,298.543644,2,18,61,,,,,,"{""initial_angle"": 2.00000551469574, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,296.957638,2,18,61,,,,,,"{""elapsed"": 5.763713500000449, ""t_collision"": 5.7289961630759425}"
looming_completed,297.941200,2,18,61,,,,,,"{""elapsed"": 6.747276000000056, ""t_collision"": 5.7289961630759425}"
